X,Y,YEAR,MO,DAY,VEI,VOL_ID,FATALITIES,ASSOC_EQ,ASSOC_TSU,DAMAGE_MILLIONS_DOLLARS,DAMAGE_AMOUNT_ORDER,DAMAGE_DESCRIPTION,DEATHS,DEATHS_AMOUNT_ORDER,DEATHS_DESCRIPTION,INJURIES,INJURIES_AMOUNT_ORDER,INJURIES_DESCRIPTION,MISSING,MISSING_AMOUNT_ORDER,MISSING_DESCRIPTION,HOUSES_DESTROYED,HOUSES_AMOUNT_ORDER,HOUSES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS_TOTAL,DAMAGE_AMOUNT_ORDER_TOTAL,DAMAGE_TOTAL_DESCRIPTION,DEATHS_TOTAL,DEATHS_AMOUNT_ORDER_TOTAL,DEATHS_TOTAL_DESCRIPTION,INJURIES_TOTAL,INJURIES_AMOUNT_ORDER_TOTAL,INJURIES_TOTAL_DESCRIPTION,MISSING_TOTAL,MISSING_AMOUNT_ORDER_TOTAL,MISSING_TOTAL_DESCRIPTION,HOUSES_DESTROYED_TOTAL,HOUSES_AMOUNT_ORDER_TOTAL,HOUSES_TOTAL_DESCRIPTION,SIGNIF,VALIDITY,NUM,NAME,LOCATION,LATITUDE,LONGITUDE,ELEVATION,MORPHOLOGY,STATUS,TIME_ERUPT,ID,COUNTRY,NUM_SLIDES,SIG_ID,TSU_ID,HAZ_EVENT_ID,OBJECTID
14593985.24,3879386.781,1994,5,29,1,80211,1,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,1,,0802-11=,Aso,Kyushu-Japan,32.88,131.1,1592,Caldera,Historical,D1,80211,Japan,0,,,6466,917
14593985.24,3879386.781,1990,10,19,2,80211,1,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,1,,0802-11=,Aso,Kyushu-Japan,32.88,131.1,1592,Caldera,Historical,D1,80211,Japan,0,,,6465,917
14593985.24,3879386.781,1990,4,18,2,80211,1,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,1,,0802-11=,Aso,Kyushu-Japan,32.88,131.1,1592,Caldera,Historical,D1,80211,Japan,0,,,6464,917
14593985.24,3879386.781,1990,3,26,2,80211,1,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,1,,0802-11=,Aso,Kyushu-Japan,32.88,131.1,1592,Caldera,Historical,D1,80211,Japan,0,,,6447,917
14593985.24,3879386.781,1989,2,12,,80211,1,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,1,,0802-11=,Aso,Kyushu-Japan,32.88,131.1,1592,Caldera,Historical,D1,80211,Japan,0,,,6446,917
13768551.22,1489109.23,1875,,,,70303,1500,,,,,,1500,4,Very Many (~1001 or more people),,,,,,,,,,,,,1500,4,Very Many (~1001 or more people),,,,,,,,,,1,,0703-03=,Mayon,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,Historical,D1,70303,Philippines,0,,,6427,1129
12294347.2,-842006.7229,1974,10,22,2,60325,9,,,,,,9,1,Few (~1 to 50 people),,,,,,,6,1,Few (~1 to 50 houses),,,,9,1,Few (~1 to 50 people),,,,,,,6,1,Few (~1 to 50 houses),1,,0603-25=,Merapi,Java,-7.542,110.442,2947,Stratovolcano,Historical,D1,60325,Indonesia,0,,,6345,1145
12294347.2,-842006.7229,1962,10,,,60325,2,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,1,,0603-25=,Merapi,Java,-7.542,110.442,2947,Stratovolcano,Historical,D1,60325,Indonesia,0,,,6344,1145
12294347.2,-842006.7229,2001,8,5,2,60325,2,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,1,,0603-25=,Merapi,Java,-7.542,110.442,2947,Stratovolcano,Historical,D1,60325,Indonesia,0,,,6349,1145
12294347.2,-842006.7229,2000,11,,2,60325,1,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,1,,0603-25=,Merapi,Java,-7.542,110.442,2947,Stratovolcano,Historical,D1,60325,Indonesia,0,,,6348,1145
12294347.2,-842006.7229,1997,1,14,2,60325,6,,,,,,6,1,Few (~1 to 50 people),,1,Few (~1 to 50 people),,,,,,,,,,6,1,Few (~1 to 50 people),,1,Few (~1 to 50 people),,,,,,,1,,0603-25=,Merapi,Java,-7.542,110.442,2947,Stratovolcano,Historical,D1,60325,Indonesia,0,,,6347,1145
12294347.2,-842006.7229,1932,2,,,60325,,,,,,,,1,Few (~1 to 50 people),,,,,,,,,,,,,,1,Few (~1 to 50 people),,,,,,,,,,1,,0603-25=,Merapi,Java,-7.542,110.442,2947,Stratovolcano,Historical,D1,60325,Indonesia,0,,,6329,1145
12294347.2,-842006.7229,1872,4,17,4,60325,170,,,,,,170,3,Many (~101 to 1000 people),,,,,,,,2,Some (~51 to 100 houses),,,,170,3,Many (~101 to 1000 people),,,,,,,,2,Some (~51 to 100 houses),1,,0603-25=,Merapi,Java,-7.542,110.442,2947,Stratovolcano,Historical,D1,60325,Indonesia,0,,,6328,1145
12294347.2,-842006.7229,1976,11,25,2,60325,29,,,,,,29,1,Few (~1 to 50 people),,,,,,,,,,,,,29,1,Few (~1 to 50 people),,,,,,,,,,1,,0603-25=,Merapi,Java,-7.542,110.442,2947,Stratovolcano,Historical,D1,60325,Indonesia,0,,,6346,1145
3256095.106,-169225.477,1990,11,21,,20303,1,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,1,,0203-03=,Nyiragongo,Africa-C,-1.52,29.25,3470,Stratovolcano,Historical,D1,20303,"Congo, DRC",0,,,6266,1238
15304203.59,4286870.236,2014,9,27,3,80304,55,,,,,,55,2,Some (~51 to 100 people),70,2,Some (~51 to 100 people),,,,,,,,,,55,2,Some (~51 to 100 people),70,2,Some (~51 to 100 people),,,,,,,1,4,0803-04=,On-take,Honshu-Japan,35.9,137.48,3063,Complex volcano,Historical,D1,80304,Japan,0,,,6064,1254
15304203.59,4286870.236,1984,9,14,,80304,29,,,,,,29,1,Few (~1 to 50 people),,,,,,,,,,,,,29,1,Few (~1 to 50 people),,,,,,,,,,1,,0803-04=,On-take,Honshu-Japan,35.9,137.48,3063,Complex volcano,Historical,D1,80304,Japan,0,,,6473,1254
13397300.72,1704186.743,1993,10,4,,703083,14,,,,,,14,1,Few (~1 to 50 people),,,,,,,,,,,,,14,1,Few (~1 to 50 people),,,,,,,,,,1,,0703-083,Pinatubo,Luzon-Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1,703083,Philippines,0,,,6429,1310
13397300.72,1704186.743,1993,6,26,1,703083,4,,,,,,4,1,Few (~1 to 50 people),,,,,,,,,,,,,4,1,Few (~1 to 50 people),,,,,,,,,,1,,0703-083,Pinatubo,Luzon-Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1,703083,Philippines,0,,,6428,1310
16943160.46,-475886.4728,1990,6,24,,50214,6,,,,,,6,1,Few (~1 to 50 people),,,,,,,,,,,,,6,1,Few (~1 to 50 people),,,,,,,,,,1,,0502-14=,Rabaul,New Britain-SW Pac,-4.271,152.203,688,Pyroclastic shield,Historical,D1,50214,Papua New Guinea,0,,,6284,1351
12965381.09,-940702.1776,1994,11,3,3,60403,31,,,,,,31,1,Few (~1 to 50 people),,,,,,,,,,,,,31,1,Few (~1 to 50 people),,,,,,,,,,1,,0604-03=,Rinjani,Lesser Sunda Is,-8.42,116.47,3726,Stratovolcano,Historical,D1,60403,Indonesia,0,,,6384,1376
19544363,-4761858.9,1953,12,24,,40110,151,,,,,,151,3,Many (~101 to 1000 people),,,,,,,,,,,,,151,3,Many (~101 to 1000 people),,,,,,,,,,1,,0401-10=,Ruapehu,New Zealand,-39.28,175.57,2797,Stratovolcano,Historical,D1,40110,New Zealand,0,,,6270,1388
1693503.413,4691492.542,2001,10,20,2,10104,1,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,1,,0101-04=,Stromboli,Italy,38.789,15.213,926,Stratovolcano,Historical,D1,10104,Italy,0,,,6245,515
1605894.974,4985974.949,1873,,,,10102,9,,,,,,9,1,Few (~1 to 50 people),,,,,,,,,,,,,9,1,Few (~1 to 50 people),,,,,,,,,,1,,0101-02=,Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,10102,Italy,0,,,6244,758
-8083353.504,-5060546.159,2015,4,22,,150802,,,,,2,Moderate (~$1 to $5 million),,,,,,,,,,,2,Some (~51 to 100 houses),,2,Moderate (~$1 to $5 million),,,,,,,,,,,2,Some (~51 to 100 houses),1,4,1508-02=,Calbuco,Chile-S,-41.326,-72.614,2003,Stratovolcano,Historical,D2,150802,Chile,0,,,6126,1039
-8083353.504,-5060546.159,1893,1,7,4,150802,,,,,1,Limited (<$1 million),,,,,,,,,,,,,,1,Limited (<$1 million),,,,,,,,,,,,,1,4,1508-02=,Calbuco,Chile-S,-41.326,-72.614,2003,Stratovolcano,Historical,D2,150802,Chile,0,,,6125,1039
-8083353.504,-5060546.159,1961,1,25,3,150802,,,,,1,Limited (<$1 million),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1508-02=,Calbuco,Chile-S,-41.326,-72.614,2003,Stratovolcano,Historical,D2,150802,Chile,0,,,6124,1039
14568381.76,3754125.543,1989,8,26,,80209,2,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,1,,0802-09=,Kirishima,Kyushu-Japan,31.93,130.87,1700,Shield volcano,Historical,D1,80209,Japan,0,,,6444,443
14324035.48,-795203.5385,1993,1,21,,60504,1,,,,,,1,1,Few (~1 to 50 people),12,1,Few (~1 to 50 people),,,,,,,,,,1,1,Few (~1 to 50 people),12,1,Few (~1 to 50 people),,,,,,,1,,0605-04=,Wurlali,Banda Sea,-7.125,128.675,868,Stratovolcano,Historical,D3,60504,Indonesia,0,,,6408,791
18682750.14,-1735342.253,1914,,,,50703,100,,,,,,100,2,Some (~51 to 100 people),,,,,,,,,,,,,100,2,Some (~51 to 100 people),,,,,,,,,,1,,0507-03=,Aoba,Vanuatu-SW Pacific,-15.4,167.83,1496,Shield volcano,Historical,D1,50703,Vanuatu,0,,,6304,895
13902913.84,682574.4658,1995,9,6,,701011,60,,,,2,Moderate (~$1 to $5 million),60,2,Some (~51 to 100 people),,,,,,,300,3,Many (~101 to 1000 houses),,2,Moderate (~$1 to $5 million),60,2,Some (~51 to 100 people),,,,,,,300,3,Many (~101 to 1000 houses),1,,0701-011,Parker,Mindanao-Philippines,6.12,124.892,1824,Stratovolcano,Historical,D5,701011,Philippines,0,,,6424,1285
11881129.25,-749787.9726,2007,7,7,,60305,6,,,,,,6,1,Few (~1 to 50 people),,,,,,,,,,,,,6,1,Few (~1 to 50 people),,,,,,,,,,1,,0603-05=,Salak,Java,-6.72,106.73,2211,Stratovolcano,Historical,D2,60305,Indonesia,0,,,6324,1405
15568030.79,3776444.351,1953,3,25,2,804061,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0804-061,Myojun Knoll,Izu Is-Japan,32.1,139.85,360,Submarine volcano,Holocene,Unknown,804061,Japan,0,,5566,6044,1565
18456771.57,-1161869.4,1897,3,26,2,50601,,,Y,,,,,,,,,,,,,,,,,1,Limited (<$1 million),,,,,,,,,,,1,Few (~1 to 50 houses),1,,0506-01=,Tinakula,Santa Cruz Is-SW Pac,-10.38,165.8,851,Stratovolcano,Historical,D1,50601,Solomon Is.,0,,5629,6684,589
-19488703.25,-2243438.393,1892,8,30,2,40306,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0403-06=,Tofua,Tonga-SW Pacific,-19.75,-175.07,512,Caldera,Historical,D2,40306,Tonga,0,,5608,6664,602
-8732123.497,-163323.5388,-1010,,,5,150208,,,,,,,,3,Many (~101 to 1000 people),,,,,,,,,,,,,,3,Many (~101 to 1000 people),,,,,,,,,,1,,1502-08=,Tungurahua,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1,150208,Ecuador,0,,,6628,639
15677123.89,5240704.489,1977,8,7,3,80503,3,,,,,,3,1,Few (~1 to 50 people),,,,,,,,,,,,,3,1,Few (~1 to 50 people),,,,,,,,,,1,,0805-03=,Usu,Hokkaido-Japan,42.53,140.83,731,Stratovolcano,Historical,D1,80503,Japan,0,,,6548,745
15677123.89,5240704.489,1944,8,26,2,80503,1,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,1,,0805-03=,Usu,Hokkaido-Japan,42.53,140.83,731,Stratovolcano,Historical,D1,80503,Japan,0,,,6547,745
17621875.39,6924024.55,1981,,,,1000083,,,,,,,,1,Few (~1 to 50 people),,,,,,,,,,,,,,1,Few (~1 to 50 people),,,,,,,,,,1,,1000-083,Vilyuchik,Kamchatka,52.68,158.3,2173,Stratovolcano,Tephrochronology,D7,1000083,Russia,0,,,6565,763
-12319728.05,5532228.61,2016,6,9,,120501,1,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,,,,1,1,Few (~1 to 50 people),,,,,,,,,,1,,1205-01-,Yellowstone,US-Wyoming,44.43,-110.67,2805,Caldera,Tephrochronology,D7,120501,United States,0,,,6724,803
15615898.17,4525882.768,1997,9,15,,80317,4,,,,,,4,1,Few (~1 to 50 people),,,,,,,,,,,,,4,1,Few (~1 to 50 people),,,,,,,,,,1,,0803-17=,Adatara,Honshu-Japan,37.62,140.28,1718,Stratovolcano,Historical,D1,80317,Japan,0,,,6524,835
15493446.73,4373795.768,1947,9,16,,80313,699,,,,,,699,3,Many (~101 to 1000 people),,,,,,,,,,,,,699,3,Many (~101 to 1000 people),,,,,,,,,,1,,0803-13=,Akagi,Honshu-Japan,36.53,139.18,1828,Stratovolcano,Historical,D6,80313,Japan,0,,,6508,846
-8731455.58,-75365.04897,-455,,,4,150205,,,,,,,,1,Few (~1 to 50 people),,,,,,,,,,,,,,1,Few (~1 to 50 people),,,,,,,,,,1,,1502-05=,Cotopaxi,Ecuador,-0.677,-78.436,5911,Stratovolcano,Historical,D2,150205,Ecuador,0,,,6627,11
15905328.84,5416054.256,1961,6,18,,80506,2,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,1,,0805-06=,Daisetsu,Hokkaido-Japan,43.68,142.88,2290,Stratovolcano,Tephrochronology,D6,80506,Japan,0,,,6550,26
15905328.84,5416054.256,1958,7,21,,80506,2,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,,,,2,1,Few (~1 to 50 people),,,,,,,,,,1,,0805-06=,Daisetsu,Hokkaido-Japan,43.68,142.88,2290,Stratovolcano,Tephrochronology,D6,80506,Japan,0,,,6549,26
